Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Mandarin,2,Jestha,kg,180.0,250.0,208.12,32
Mandarin,3,Asar,kg,200.0,250.0,220.69,29
Mandarin,4,Shrawan,kg,220.0,350.0,268.18,32
Mandarin,5,Bhadra,kg,300.0,350.0,332.9,31
Mandarin,6,Ashwin,kg,320.0,350.0,335.91,11
Mango(Calcutte),3,Asar,kg,60.0,80.0,71.25,4
Mango(Calcutte),4,Shrawan,kg,70.0,100.0,82.62,7
Mango(Chousa),1,Baisakh,kg,160.0,180.0,170.0,1
Mango(Chousa),3,Asar,kg,100.0,150.0,120.0,2
Mango(Chousa),4,Shrawan,kg,90.0,200.0,169.68,21
Mango(Chousa),5,Bhadra,kg,200.0,250.0,228.33,3
Mango(Dushari),1,Baisakh,kg,120.0,280.0,199.23,27
Mango(Dushari),2,Jestha,kg,70.0,250.0,169.22,32
Mango(Dushari),3,Asar,kg,70.0,130.0,92.96,22
Mango(Dushari),4,Shrawan,kg,120.0,200.0,159.52,21
Mango(Dushari),5,Bhadra,kg,220.0,250.0,235.0,2
Mango(Maldah),1,Baisakh,kg,100.0,250.0,195.21,8
Mango(Maldah),2,Jestha,kg,70.0,250.0,144.53,32
Mango(Maldah),3,Asar,kg,60.0,160.0,90.01,30
Mango(Maldah),4,Shrawan,kg,120.0,250.0,177.02,28
Mint,1,Baisakh,kg,120.0,300.0,162.74,31
Mint,2,Jestha,kg,90.0,200.0,137.58,32
Mint,3,Asar,kg,100.0,180.0,133.23,31
Mint,4,Shrawan,kg,120.0,500.0,224.14,31
Mint,5,Bhadra,kg,350.0,600.0,493.52,27
Mint,6,Ashwin,kg,500.0,600.0,550.0,9
Mombin,4,Shrawan,kg,50.0,80.0,67.56,15
Mombin,5,Bhadra,kg,50.0,80.0,60.7,31
Mombin,6,Ashwin,kg,45.0,70.0,57.8,11
Mushroom(Button),1,Baisakh,kg,250.0,500.0,366.79,28
Mushroom(Button),2,Jestha,kg,250.0,400.0,317.0,32
Mushroom(Button),3,Asar,kg,240.0,380.0,308.85,31
Mushroom(Button),4,Shrawan,kg,230.0,450.0,346.45,32
Mushroom(Button),5,Bhadra,kg,280.0,450.0,368.78,31
Mushroom(Button),6,Ashwin,kg,300.0,380.0,339.24,11
Mushroom(Kanya),1,Baisakh,kg,110.0,200.0,164.27,28
Mushroom(Kanya),2,Jestha,kg,90.0,200.0,148.86,32
Mushroom(Kanya),3,Asar,kg,120.0,250.0,164.7,31
Mushroom(Kanya),4,Shrawan,kg,150.0,250.0,181.04,32
Mushroom(Kanya),5,Bhadra,kg,150.0,300.0,198.76,31
Mushroom(Kanya),6,Ashwin,kg,130.0,220.0,160.91,11
Mustard Leaf,1,Baisakh,kg,30.0,50.0,39.46,31
